ID,SHOEBRAND,AGE,GENDER,BOROUGH,FAV-COLOR,SHOE-SIZE,HOW MUCH ARE YOU WILLING TO SPEND ON SHOES?
1,Puma,17,Male,Brooklyn,Green,10,$120
2,Vans,18,Female,Brooklyn,Black,6,$120
3,Nike,19,Male,Brooklyn,Blue,10.5,$100
4,Adidas,17,Male,Brooklyn,Green,9,$300
5,Vans,17,Female,Brooklyn,Green,10,$300
6,Jordan,18,Male,Brooklyn,Red,12,"$1,000"
7,Nike,17,Female,Brooklyn,Orange,8,$100-200
8,Adidas,18,Male,Brooklyn,Blue,8.5,$100-150
9,Nike,18,Female,Brooklyn,Purple,6,$93000+
10,Nike,17,Female,Brooklyn,Black,6,"$5,000"
11,Balenciaga,17,Male,Brooklyn,Grey,14,"$93,000"
12,Nike,17,Female,Brooklyn,Pink,7,$800
13,Vans,18,Male,Brooklyn,Purple,11,$120
14,Adidas,18,Male,Brooklyn,Black,10,$70
15,Nike,17,Female,Brooklyn,Black,9,$300
16,Jordans,17,Male,Brooklyn,Green,10.5,$300